,Unnamed: 0,date,open,close,high,low,volume,money
0,0,2005-01-04,1.27,1.27,1.28,1.22,1277541.0,1614023.0
1,1,2005-01-05,1.27,1.3,1.31,1.26,1411764.0,1822200.0
2,2,2005-01-06,1.31,1.28,1.32,1.27,948600.0,1222620.0
3,3,2005-01-07,1.28,1.3,1.31,1.27,1397577.0,1804649.0
4,4,2005-01-10,1.29,1.29,1.3,1.26,1860840.0,2366663.0
5,5,2005-01-11,1.27,1.28,1.29,1.27,1769010.0,2269173.0
6,6,2005-01-12,1.3,1.28,1.3,1.26,1994550.0,2540646.0
7,7,2005-01-13,1.27,1.27,1.28,1.25,2506614.0,3171159.0
8,8,2005-01-14,1.27,1.25,1.3,1.25,2251590.0,2870059.0
9,9,2005-01-17,1.25,1.21,1.25,1.19,2252397.0,2734629.0
10,10,2005-01-18,1.21,1.23,1.23,1.19,2135190.0,2589950.0
11,11,2005-01-19,1.23,1.21,1.25,1.19,1754037.0,2122500.0
12,12,2005-01-20,1.2,1.22,1.23,1.17,2477538.0,2997336.0
13,13,2005-01-21,1.22,1.25,1.25,1.17,2653374.0,3237476.0
14,14,2005-01-24,1.28,1.3,1.31,1.23,6668901.0,8447840.0
15,15,2005-01-25,1.28,1.27,1.29,1.26,3149607.0,4001987.0
16,16,2005-01-26,1.28,1.27,1.3,1.26,4028685.0,5186563.0
17,17,2005-01-27,1.27,1.21,1.27,1.21,2178930.0,2682336.0
18,18,2005-01-28,1.2,1.19,1.24,1.19,1601934.0,1928154.0
19,19,2005-01-31,1.07,1.07,1.1,1.07,1709700.0,1836653.0
20,20,2005-02-01,0.98,0.97,1.02,0.97,10536693.0,10320036.0
21,21,2005-02-02,0.96,1.02,1.02,0.96,10067223.0,9953965.0
22,22,2005-02-03,1.0,0.98,1.02,0.97,6356958.0,6291636.0
23,23,2005-02-04,0.97,0.98,0.99,0.97,3906153.0,3815347.0
24,24,2005-02-16,0.99,1.04,1.04,0.98,8544357.0,8711459.0
25,25,2005-02-17,1.03,1.04,1.05,1.01,5110926.0,5265308.0
26,26,2005-02-18,1.05,1.06,1.07,1.03,7834311.0,8234577.0
27,27,2005-02-21,1.06,1.08,1.08,1.04,6329565.0,6701016.0
28,28,2005-02-22,1.07,1.11,1.12,1.06,10266873.0,11226265.0
29,29,2005-02-23,1.11,1.1,1.12,1.08,8681739.0,9544208.0
30,30,2005-02-24,1.1,1.1,1.1,1.08,4664793.0,5096791.0
31,31,2005-02-25,1.1,1.1,1.13,1.09,9356970.0,10418403.0
32,32,2005-02-28,1.09,1.09,1.1,1.08,4340085.0,4722283.0
33,33,2005-03-01,1.09,1.12,1.12,1.09,6776472.0,7484537.0
34,34,2005-03-02,1.14,1.09,1.19,1.09,9615090.0,10906203.0
35,35,2005-03-03,1.08,1.08,1.08,1.05,3978153.0,4263161.0
36,36,2005-03-04,1.08,1.06,1.08,1.05,3244431.0,3453028.0
