,Unnamed: 0,date,open,close,high,low,volume,money
0,0,2005-01-04,1.51,1.42,1.52,1.42,1840049.0,2681713.0
1,1,2005-01-05,1.43,1.56,1.56,1.43,2654532.0,4117930.0
2,2,2005-01-06,1.64,1.55,1.68,1.54,9948877.0,16003086.0
3,3,2005-01-07,1.52,1.52,1.57,1.47,3231052.0,4893416.0
4,4,2005-01-10,1.51,1.59,1.59,1.5,2692554.0,4216036.0
5,5,2005-01-11,1.57,1.61,1.64,1.56,3215385.0,5189862.0
6,6,2005-01-12,1.62,1.59,1.66,1.55,5324127.0,8468687.0
7,7,2005-01-13,1.58,1.59,1.6,1.54,3277418.0,5147709.0
8,8,2005-01-14,1.59,1.53,1.6,1.53,2210913.0,3457914.0
9,9,2005-01-17,1.51,1.53,1.53,1.47,2023779.0,3032920.0
10,10,2005-01-18,1.51,1.58,1.58,1.51,2534638.0,3944051.0
11,11,2005-01-19,1.55,1.56,1.6,1.55,2202579.0,3457858.0
12,12,2005-01-20,1.55,1.54,1.57,1.44,2658296.0,4011522.0
13,13,2005-01-21,1.51,1.57,1.59,1.48,3123893.0,4825803.0
14,14,2005-01-24,1.65,1.63,1.66,1.61,6557907.0,10720988.0
15,15,2005-01-25,1.59,1.67,1.7,1.59,7897673.0,13188618.0
16,16,2005-01-26,1.66,1.71,1.74,1.64,6440133.0,10906730.0
17,17,2005-01-27,1.69,1.68,1.71,1.64,4378828.0,7362426.0
18,18,2005-01-28,1.68,1.6,1.71,1.59,3746991.0,6170026.0
19,19,2005-01-31,1.6,1.5,1.6,1.44,3598435.0,5413994.0
20,20,2005-02-01,1.47,1.47,1.55,1.46,2908782.0,4349837.0
21,21,2005-02-02,1.51,1.58,1.59,1.47,3023610.0,4634792.0
22,22,2005-02-03,1.58,1.51,1.58,1.51,3157501.0,4874937.0
23,23,2005-02-04,1.54,1.66,1.66,1.53,11858688.0,19548925.0
24,24,2005-02-16,1.64,1.66,1.69,1.62,5881819.0,9758820.0
25,25,2005-02-17,1.64,1.66,1.69,1.64,2729671.0,4522121.0
26,26,2005-02-18,1.65,1.61,1.67,1.6,2760656.0,4507341.0
27,27,2005-02-21,1.62,1.68,1.68,1.62,3914856.0,6511969.0
28,28,2005-02-22,1.68,1.7,1.73,1.65,5859195.0,9898330.0
